Birth City,Number of Players,Mean Player Salary,Median Player Salary,Player Salary Variance,Player Salary Std. Dev.,Player Salary Std. Error
St. Marys,1,"$919,500","$850,000","$589,605,416,667","$767,858","$290,223"
St. Louis Park,1,"$500,000","$500,000",$nan,$nan,$nan
Racine,1,"$413,000","$416,500","$135,750,000","$11,651","$6,727"
St. Clairsville,1,"$384,800","$384,800",$nan,$nan,$nan
Satellite Beach,1,"$3,273,133","$2,000,000","$9,185,634,747,500","$3,030,781","$1,010,260"
Radford,1,"$1,925,000","$1,600,000","$1,289,166,666,667","$1,135,415","$567,707"
St. Clair,1,"$268,667","$253,000","$5,586,333,333","$74,742","$43,152"
Ramon Santana,1,"$5,825,512","$5,812,500","$4,230,147,749,461","$2,056,732","$727,165"
Selmer,1,"$292,000","$307,000","$6,649,000,000","$81,541","$47,078"
St. Amant,1,"$454,675","$458,000","$2,236,929,167","$47,296","$23,648"
Rawlins,1,"$6,250,000","$6,250,000",$0,$0,$0
Quibor,1,"$390,000","$390,000",$nan,$nan,$nan
Queensbury,1,"$683,325","$448,600","$262,312,469,167","$512,164","$256,082"
Starkville,1,"$528,667","$496,000","$3,825,333,333","$61,849","$35,709"
Pusan,1,"$411,200","$411,200","$699,380,000","$26,446","$18,700"
State College,1,"$5,866,875","$5,666,666","$13,465,515,467,917","$3,669,539","$1,297,378"
Punxsutawney,1,"$1,002,500","$502,500","$1,030,675,000,000","$1,015,222","$507,611"
Steamboat Springs,1,"$355,833","$346,500","$2,045,583,333","$45,228","$26,112"
Pullman,1,"$397,500","$397,500","$612,500,000","$24,749","$17,500"
Round Rock,1,"$507,350","$507,350","$59,405,000","$7,707","$5,450"
Puerto Piritu,1,"$1,540,625","$2,100,000","$1,222,074,553,571","$1,105,475","$390,844"
Puerto Palenque,1,"$391,500","$370,500","$6,233,666,667","$78,954","$39,477"
